Site ID,Nom du Site,Province,District,Actif,Date Mise à Jour
17080201,H CMCK,Bujumbura mairie,DS Bujumbura sud,,
17100101,CDS Dieu Merci,Bujumbura mairie,DS Bujumbura sud,,
17100202,CDS Buterere II,Bujumbura mairie,DS Bujumbura nord,,
17100303,CDS OPDE,Bujumbura mairie,DS Bujumbura centre,,
17100404,CDS Gisyo,Bujumbura mairie,DS Bujumbura sud,,
17100505,ASS RNJ+,Bujumbura mairie,DS Bujumbura centre,,
17100606,CDS Brarudi,Bujumbura mairie,DS Bujumbura centre,,
17100707,CDS Kigobe,Bujumbura mairie,DS Bujumbura nord,,
17100808,H?pital Ruziba,Bujumbura mairie,DS Bujumbura sud,,
17120101,CM Sainte Rosselo,Bujumbura mairie,DS Bujumbura sud,,
17120201,H BUMEREC,Bujumbura mairie,DS Bujumbura centre,,
17120301,CDS Busoro,Bujumbura mairie,DS Bujumbura sud,,
17120401,CDS Saint Kizito,Bujumbura mairie,DS Bujumbura nord,,
18100101,CDS Rumonge,Rumonge,DS Rumonge,,
18100202,CDS Magara I,Rumonge,DS Bugarama,,
18100203,CDS Magara II,Rumonge,DS Bugarama,,
18100303,CDS Saint Georges,Rumonge,DS Bugarama,,
18100404,CDS Kizuka,Rumonge,DS Rumonge,,
18120101,CDS Mutambara,Rumonge,DS Rumonge,,
18120201,CDS Cabara,Rumonge,DS Rumonge,,
18120301,CDS Gitaza,Rumonge,DS Bugarama,,
18120401,CDS Buruhukiro,Rumonge,DS Rumonge,,
18120501,CM Bitare,Rumonge,DS Rumonge,,
18120601,CDS Bitare,Rumonge,DS Rumonge,,
18120701,CDS Kagongo II,Rumonge,DS Rumonge,,
,,,,,
,,,,,
,,,,,
,,,,,
